OBJECTID,OSP_ID,FACILITY_NAME,STREET_ADDRESS,LOCATION,PHONE,PM_DISTRICT_ID,AREA_TYPE,BLOCKFACE_ID,STREET_SEG_CTRLN_ID,FACILITY_TYPE,OWNER,SENSOR_FLAG,METER_FLAG,DATA_FEED_FLAG,SERVICES,WEB_SITE,VEH_ENTRY_LANES,MC_ENTRY_LANES,VEH_EXIT_LANES,MC_EXIT_LANES,SYSTEM,HI_VOL_DISC_FLAG,VALIDATION_PGM,SP_EVT_RATES,ACTIVATION_FEE,CARD_REPLACE_FEE,LATE_FEE,REOPEN_FEE,NO_KEY_VALET_FEE,CAPACITY,MAIN_ENTRANCE_LONG,MAIN_ENTRANCE_LAT,CREATED_DT,LAST_UPD_DT,GLOBALID,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
6729,0,18th and Geary Lot,421 18th Avenue,18th Ave between Geary & Anza,,21,-,118041,830000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,34,-122.4774621,37.77991856,02/08/2011 10:51:00 AM,04/20/2011 11:15:13 AM,,POINT (-122.4774621 37.77991856),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Outer Richmond,1,29,5,5,8,4
6733,0,Junipero Serra and Ocean Lot,2500 Ocean Avenue,Ocean between Junipero Serra & Woodacre,,31,-,591252,9847000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,20,-122.4721379,37.7314316,02/08/2011 10:51:00 AM,04/20/2011 11:15:13 AM,,POINT (-122.4721379 37.7314316),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,West of Twin Peaks,7,41,62,62,10,8
6745,0,Fifth and Mission Garage,833 Mission Street,Mission between 5th and 4th Streets,(415) 982-8522,1,Pilot,568081,9096000,G,SFMTA,N,N,Y,"carpool/carshare rate, motorcycle rate, electric vehicle charger, bike parking, valet parking, ATM",http://www.fifthandmission.com,6,1,8,1,Skidata,Y,,Y,38,38,38,60,38,2585,-122.40553756,37.78327767,02/08/2011 10:51:00 AM,11/01/2021 07:54:36 AM,,POINT (-122.405537559 37.783277673),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,South of Market,6,34,32,32,1,10
6755,0,Portsmouth Square Garage,733 Kearny Street,Kearny between Clay & Washington,(415) 982-6353,1,Pilot,520071,7758000,G,SFMTA,N,N,Y,"carpool/carshare rate, validation, electric vehicle charger, bike parking, valet parking",,2,0,3,0,Skidata,Y,,Y,38,38,38,60,38,504,-122.40503873,37.79486555,02/08/2011 10:51:00 AM,11/02/2021 01:10:29 PM,,POINT (-122.405038727 37.794865547),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Chinatown,3,6,104,104,6,3
6735,0,Pierce Street Garage,3252 Pierce Street,Pierce between Lombard & Chestnut,,7,Pilot,607322,10445000,G,SFMTA,N,N,Y,,,0,0,0,0,,-,,-,0,0,0,0,0,116,-122.43928532,37.80004661,02/08/2011 10:51:00 AM,11/05/2018 01:34:16 AM,,POINT (-122.439285324 37.800046607),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Marina,2,13,17,17,4,6
6757,0,St. Marys Square Garage,433 Kearny Street,Kearny between Pine & California,(415) 956-8106,1,Pilot,520041,7754000,G,SFMTA,N,N,Y,"carpool/carshare rate, early bird rate, reduced night/wknd rates, validation, electric vehicle charger, bike parking, valet parking",,3,0,3,0,Skidata,Y,,Y,38,38,38,60,38,414,-122.4045476,37.79199927,02/08/2011 10:51:00 AM,11/01/2021 12:02:00 PM,,POINT (-122.4045476 37.79199927),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Financial District/South Beach,3,8,104,104,6,3
6749,0,Lombard Street Garage,2055 Lombard Street,Moulton between Webster & Fillmore,(415) 440-1984,7,Pilot,549201,8459101,G,SFMTA,N,N,Y,"carpool/carshare rate, validation, electric vehicle charger, valet parking",,1,0,1,0,Skidata,Y,,Y,38,38,38,60,38,197,-122.43489211,37.79964759,02/08/2011 10:51:00 AM,11/01/2021 09:52:15 AM,,POINT (-122.434892113 37.799647588),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Marina,2,13,15,15,4,6
6754,0,Polk Bush Garage,1399 Bush Street,Bush between Polk & Larkin,(415) 567-7816,15,-,336131,3443000,G,SFMTA,N,N,Y,"carpool/carshare rate, valet parking",,2,0,2,0,Skidata,Y,,Y,38,38,38,60,38,129,-122.4201006,37.78851674,02/08/2011 10:51:00 AM,11/01/2021 11:16:09 AM,,POINT (-122.4201006 37.78851674),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Nob Hill,3,21,50,50,4,3
6721,0,24th and Capp Lot,3255 24th Street,Lilac @ 24th St,,29,-,798001,8331000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,20,-122.4175067,37.75208935,02/08/2011 10:51:00 AM,04/20/2011 11:15:13 AM,,POINT (-122.4175067 37.75208935),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Mission,9,20,53,53,3,2
6731,0,8th and Irving Lot,1325 08th Avenue,8th Ave between Irving & Judah,,24,-,108131,396000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,41,-122.4654655,37.76352138,02/08/2011 10:51:00 AM,04/20/2011 11:15:13 AM,,POINT (-122.4654655 37.76352138),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Inner Sunset,7,14,109,109,10,11
6734,0,19th and Ocean Lot,3000 19th Avenue,Ocean between Lagunitas & 19th Ave,,31,-,591261,9849000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,20,-122.4746489,37.73239756,02/08/2011 10:51:00 AM,04/20/2011 11:15:13 AM,,POINT (-122.4746489 37.73239756),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,West of Twin Peaks,7,41,62,62,10,8
6762,0,7th & Harrison Lot,415 7th Street,7th St between Harrison & Bryant,(415) 558-9052,0,Pilot,207042,374000,G,CALTRANS,N,N,Y,"carpool/carshare rate, juror rate, early bird rate, motorcycle rate, valet parking",,1,0,1,0,Skidata,Y,,Y,38,38,38,60,38,193,-122.40563617,37.77534225,02/08/2011 10:55:21 AM,11/01/2021 07:32:31 AM,,POINT (-122.405636166 37.775342251),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,South of Market,6,34,32,32,1,10
6748,0,Japan Center Annex Garage,1680 Fillmore St,Fillmore between Geary & Post,(415) 567-4573,5,Pilot,415162,5547000,G,SFMTA,N,N,Y,"carpool/carshare rate, early bird rate, motorcycle rate, validation, electric vehicle charger, bike parking, valet parking, monthly parker shuttle to CPMC, ATM",,1,0,1,0,Skidata,Y,,Y,38,38,38,60,38,176,-122.43286617,37.78495474,02/08/2011 10:51:00 AM,11/01/2021 09:27:40 AM,,POINT (-122.432866166 37.784954743),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Japantown,5,15,101,101,4,11
6758,0,Sutter Stockton Garage,444 Stockton Street,Bush between Stockton & Grant,(415) 982-8370,1,Pilot,664041,12199001,G,SFMTA,N,N,Y,"carpool/carshare rate, motorcycle rate, electric vehicle charger, bike parking, valet parking",,4,0,6,0,Skidata,Y,,Y,38,38,38,60,38,1865,-122.40685562,37.78978292,02/08/2011 10:51:00 AM,11/02/2021 03:07:16 AM,,POINT (-122.406855619 37.789782923),11/15/2023 12:58:01 PM,01/18/2024 03:36:50 PM,Financial District/South Beach,3,8,19,19,6,3
